"x","number"
"1984 VA",585
"1984 VT",1155
"1984 WA",7560
"1984 WI",231
"1984 WV",255
"1984 WY",342
"1985 AK",161
"1985 AL",1496
"1985 AR",345
"1985 AZ",3005
"1985 CA",11153
"1985 CO",4849
"1985 CT",252
"1985 DC",3
"1985 FL",4255
"1985 GA",3739
"1985 HI",1094
"1985 IA",392
"1985 ID",708
"1985 IL",1148
"1985 IN",1122
"1985 KS",1409
"1985 KY",459
"1985 LA",480
"1985 MA",2857
"1985 MD",5436
"1985 ME",678
"1985 MI",2964
"1985 MN",4072
"1985 MO",1822
"1985 MS",345
"1985 MT",138
"1985 NC",1305
"1985 ND",123
"1985 NE",459
"1985 NH",1438
"1985 NJ",360
"1985 NM",21
"1985 NY",8832
"1985 OH",6190
"1985 OK",3972
"1985 OR",2522
"1985 PA",4561
"1985 RI",1035
"1985 SC",9
"1985 SD",432
"1985 TN",810
"1985 TX",3056
"1985 UT",2109
"1985 VA",1146
"1985 VT",12
"1985 WA",5326
"1985 WI",657
"1985 WV",123
"1985 WY",3
"1986 AK",18
"1986 AL",612
"1986 AR",822
"1986 AZ",3636
"1986 CA",10419
"1986 CO",4342
"1986 CT",1266
"1986 DE",1484
"1986 FL",3058
"1986 GA",7601
"1986 HI",953
"1986 IA",996
"1986 ID",2736
"1986 IL",366
"1986 IN",1605
"1986 KS",6051
"1986 KY",231
"1986 LA",591
"1986 MA",3383
"1986 MD",3724
"1986 ME",6
"1986 MI",1517
"1986 MN",2042
"1986 MO",1166
"1986 MS",3
"1986 MT",925
"1986 NC",4870
"1986 ND",3
"1986 NE",228
"1986 NH",1335
"1986 NJ",474
"1986 NM",834
"1986 NV",228
"1986 NY",7516
"1986 OH",7544
"1986 OK",5310
"1986 OR",696
"1986 PA",2615
"1986 RI",126
"1986 SC",579
"1986 SD",794
"1986 TN",771
"1986 TX",1535
"1986 UT",2380
"1986 VA",3004
"1986 VT",9
"1986 WA",6963
"1986 WI",12
"1986 WV",1509
"1986 WY",228
"1987 AK",351
"1987 AL",942
"1987 AR",129
"1987 AZ",2465
"1987 CA",9921
"1987 CO",4223
"1987 CT",1666
"1987 DE",228
"1987 FL",1312
"1987 GA",1216
"1987 HI",9237
"1987 IA",2354
"1987 ID",3813
"1987 IL",132
"1987 IN",1286
"1987 KS",264
"1987 KY",6
"1987 LA",2547
"1987 MA",1660
"1987 MD",1255
"1987 ME",1717
"1987 MI",2824
"1987 MN",578
"1987 MO",2480
"1987 MS",126
"1987 MT",18
"1987 NC",7523
"1987 NE",3
"1987 NH",2779
"1987 NJ",612
"1987 NM",255
"1987 NY",10043
"1987 OH",3954
"1987 OK",7932
"1987 OR",2774
"1987 PA",3429
"1987 RI",123
"1987 SC",510
"1987 SD",12
"1987 TN",477
"1987 TX",615
"1987 UT",696
"1987 VA",3034
"1987 VT",12
"1987 WA",6058
"1987 WI",123
"1987 WV",1198
"1987 WY",339
"1988 AK",21
"1988 AL",3010
"1988 AR",1964
"1988 AZ",4460
"1988 CA",10790
"1988 CO",2322
"1988 CT",933
"1988 DC",3
"1988 DE",18
"1988 FL",1963
"1988 GA",2451
"1988 HI",1963
"1988 IA",1753
"1988 ID",8727
"1988 IL",696
"1988 IN",2855
"1988 KS",21
"1988 KY",465
"1988 LA",708
"1988 MA",3269
"1988 MD",3033
